Name, Age, Sex, Adhaar card number, Contact number, Address
Rishav Gupta, 16, M, 408816587894, 5478963258, A/204 Nabyug Bldg Shanti Nagar Patna Bihar
Vihan Shah, 62, M, 418816587893, 5714986325, 608 Kailash building Shanti Nagar Patna Bihar
Aryan Agarwal, 25, M, 475698235698, 8125478968, B/601 Hansalaya Building Shanti Nagar Patna Bihar
Priti Rajput, 9, F, 879642513568, 5714986324, 102 Ramniwas Bldg Shanti Nagar Patna Bihar
Dhruv Singh, 4, M, 475698235699, 5714986321, 101 Kailash building Shanti Nagar Patna Bihar
Shanaya Makani, 24, F, 409816587893, 5478963257, 4/401 Navjivan Society Shanti Nagar Patna Bihar
Priya Gandhi, 72, F, 879642513529, 1125478968, 504 Ramniwas Bldg Shanti Nagar Patna Bihar
Atharva Chawla, 27, M, 568912374569, 5478963228, B/608 Nabyug Bldg Shanti Nagar Patna Bihar
Riya Kohli, 12, F, 879642511569, 8125468968, B/602 Hansalaya Building Shanti Nagar Patna Bihar
Aryan Ahuja, 48, M, 408815587893, 5478963158, 401 Ramniwas Bldg Shanti Nagar Patna Bihar
Siya Kumar, 15, F, 475698235678, 5724986325, B/101 Nabyug Bldg Shanti Nagar Patna Bihar
Veer Thakur, 55, M, 879652513569, 5714086325, 604 Ramniwas Bldg Shanti Nagar Patna Bihar
Diya Mishra, 18, F, 308816587893, 5478965258, 504 Kailash building Shanti Nagar Patna Bihar
Prisha Shukla, 32, F, 879142513569, 8123478968, 1/101 Navjivan Society Shanti Nagar Patna Bihar
Ananya Singh, 29, F, 475698234698, 8225478968, D/202 Nabyug Bldg Shanti Nagar Patna Bihar
Advik Agarwal, 22, M, 408816587897, 5478973258, A/401 Hansalaya Building Shanti Nagar Patna Bihar
Kabir Pathak, 46, M, 408816587823, 4714986325, 203  Ramniwas Bldg Shanti Nagar Patna Bihar
Esha Jain, 32, F, 475628235698, 3714986325, A/601 Hansalaya Building Shanti Nagar Patna Bihar
Pranav Bedi, 28, M, 225469871368, 5428963258, 1/102 Navjivan Society Shanti Nagar Patna Bihar
Shruti Kapoor, 22, F, 408816587896, 7125478968, B/204 Nabyug Bldg Shanti Nagar Patna Bihar
